Date,Open,High,Low,Close,Volume,Adj Close
2011-06-09,4149.94,4203.25,4143.66,4175.98,3332510000,4175.98
2011-06-08,4166.08,4188.10,4128.01,4149.85,3970810000,4149.85
2011-06-07,4170.23,4214.09,4157.32,4166.95,3846250000,4166.95
2011-06-06,4202.34,4219.93,4155.93,4170.48,3555980000,4170.48
2011-06-03,4246.39,4246.39,4172.18,4202.52,3505030000,4202.52
2011-06-02,4250.50,4284.16,4214.76,4247.23,3762170000,4247.23
2011-06-01,4353.71,4359.73,4244.99,4250.48,4241090000,4250.48
2011-05-31,4312.45,4368.85,4312.26,4354.84,4696240000,4354.84
2011-05-27,4301.89,4344.89,4293.45,4311.93,3124560000,4311.93
2011-05-26,4297.73,4324.67,4255.13,4303.11,3259470000,4303.11
2011-05-25,4281.84,4325.85,4248.29,4299.77,4109670000,4299.77
2011-05-24,4296.20,4324.60,4265.76,4282.60,3846250000,4282.60
2011-05-23,4344.05,4344.05,4263.07,4296.09,3255580000,4296.09
2011-05-20,4369.46,4382.87,4320.47,4345.18,4066020000,4345.18
2011-05-19,4346.51,4394.76,4333.78,4369.58,3626110000,4369.58
2011-05-18,4310.80,4361.65,4280.94,4346.37,3922030000,4346.37
2011-05-17,4326.08,4346.06,4269.12,4312.54,4053970000,4312.54
2011-05-16,4339.33,4375.52,4306.32,4327.58,3846250000,4327.58
2011-05-13,4379.25,4400.31,4313.51,4339.48,3426660000,4339.48
2011-05-12,4360.66,4398.96,4316.09,4379.29,3777210000,4379.29
2011-05-11,4402.27,4402.89,4346.73,4362.54,3846250000,4362.54
2011-05-10,4366.30,4423.90,4366.11,4405.13,4223740000,4405.13
2011-05-09,4356.54,4389.87,4332.24,4366.93,4265250000,4366.93
2011-05-06,4338.04,4407.31,4335.32,4356.71,4223740000,4356.71
2011-05-05,4354.61,4396.23,4296.39,4339.28,3846250000,4339.28
2011-05-04,4390.99,4410.07,4320.58,4354.60,4223740000,4354.60
2011-05-03,4393.78,4426.68,4352.48,4392.80,4223740000,4392.80
2011-05-02,4396.98,4438.86,4374.16,4393.86,3846250000,4393.86
2011-04-29,4386.34,4426.00,4363.14,4397.05,3479070000,4397.05
2011-04-28,4352.27,4406.62,4332.37,4386.24,4036820000,4386.24
2011-04-27,4318.17,4366.98,4294.03,4352.92,4051570000,4352.92
2011-04-26,4267.02,4340.48,4265.64,4319.06,3908060000,4319.06
2011-04-25,4268.94,4290.39,4233.86,4266.84,2142130000,4266.84
2011-04-21,4250.57,4270.96,4250.57,4268.90,3587240000,4268.90
2011-04-20,4202.39,4289.11,4202.39,4250.45,4236280000,4250.45
2011-04-19,4184.76,4221.98,4169.84,4202.88,3886300000,4202.88
2011-04-18,4233.45,4233.45,4140.80,4184.54,4223740000,4184.54
2011-04-15,4208.01,4255.72,4194.41,4233.84,4223740000,4233.84
2011-04-14,4196.49,4228.24,4154.68,4207.96,3872630000,4207.96
2011-04-13,4194.71,4234.08,4172.95,4196.94,3850860000,4196.94
2011-04-12,4212.62,4231.04,4159.67,4194.31,4275490000,4194.31
2011-04-11,4224.24,4252.61,4186.92,4213.02,3478970000,4213.02
2011-04-08,4252.59,4273.95,4197.90,4224.17,3582810000,4224.17
2011-04-07,4265.44,4281.17,4222.53,4252.52,4005600000,4252.52
2011-04-06,4252.31,4292.74,4232.14,4265.37,4223740000,4265.37
2011-04-05,4265.63,4287.84,4234.14,4253.78,3852280000,4253.78
2011-04-04,4260.29,4284.83,4239.30,4265.89,4223740000,4265.89
2011-04-01,4228.48,4294.04,4228.48,4260.67,4223740000,4260.67
2011-03-31,4230.40,4261.43,4203.11,4228.42,3566270000,4228.42
2011-03-30,4205.90,4259.28,4200.48,4230.36,3809570000,4230.36
2011-03-29,4175.60,4216.67,4153.71,4205.62,3482580000,4205.62
2011-03-28,4179.64,4216.71,4162.57,4177.16,3215170000,4177.16
2011-03-25,4159.95,4206.22,4149.22,4179.39,4223740000,4179.39
2011-03-24,4124.71,4175.23,4117.19,4159.75,4223740000,4159.75
2011-03-23,4113.54,4142.39,4077.43,4124.43,3842350000,4124.43
2011-03-22,4133.05,4152.83,4093.64,4113.59,3576550000,4113.59
2011-03-21,4064.47,4157.02,4064.47,4133.01,4223730000,4133.01
2011-03-18,4037.02,4106.39,4037.02,4063.38,4685500000,4063.38
2011-03-17,3989.75,4078.58,3989.75,4036.23,4134950000,4036.23
